first,last,id.bioguide,current_type,current_party,current_state,term_start,term_end,social.youtube,social.youtube_id,social.twitter,social.twitter_id,social.instagram,social.instagram_id,social.facebook,youtube_url
Mike,Carey,C001126,rep,Republican,OH,2025-01-03,2027-01-03,@congressmanmikecarey,UC4NoFq3K8yIGt-LZsxoKlcA,RepMikeCarey,1.46e+18,,,RepMikeCarey,https://www.youtube.com/channel/UC4NoFq3K8yIGt-LZsxoKlcA
Byron,Donalds,D000032,rep,Republican,FL,2025-01-03,2027-01-03,,UCjy0W7sksMz37IYY27tAZNQ,RepDonaldsPress,1.34e+18,byrondonalds,,,https://www.youtube.com/channel/UCjy0W7sksMz37IYY27tAZNQ
Pete,Sessions,S000250,rep,Republican,TX,2025-01-03,2027-01-03,@congressmanpetesessions,UCD-O0Y92UcMglKmoo7BHLsg,PeteSessions,24735461.0,congressmanpetesessions,,petesessions,https://www.youtube.com/channel/UCD-O0Y92UcMglKmoo7BHLsg
Jefferson,Van Drew,V000133,rep,Republican,NJ,2025-01-03,2027-01-03,,UCc5AGO_bQLeiv313Bbr35fg,Congressman_JVD,1.47e+18,jeffvandrew,,CongressmanJVD,https://www.youtube.com/channel/UCc5AGO_bQLeiv313Bbr35fg
Nicole (Nikki),Budzinski,B001315,rep,Democrat,IL,2025-01-03,2027-01-03,,UCp0Ykb-qUGx3ekTH9MIEK-w,RepNikkiB,1.6e+18,repnikki,,RepNikkiBudzinski,https://www.youtube.com/channel/UCp0Ykb-qUGx3ekTH9MIEK-w
Eric,Burlison,B001316,rep,Republican,MO,2025-01-03,2027-01-03,,UCuJFygzYhGiXMZHjhTQy20w,RepEricBurlison,1.61e+18,RepEricBurlison,,100089208900263,https://www.youtube.com/channel/UCuJFygzYhGiXMZHjhTQy20w
Becca,Balint,B001318,rep,Democrat,VT,2025-01-03,2027-01-03,,UCMC34yudOdRW3VNzocAlhtw,RepBeccaB,1.61e+18,repbeccab,,repbeccab,https://www.youtube.com/channel/UCMC34yudOdRW3VNzocAlhtw
Eli,Crane,C001132,rep,Republican,AZ,2025-01-03,2027-01-03,@rep.elicrane,UCykNfz2jRqmkQjPqLZMUkyw,RepEliCrane,1.61e+18,,,100088851021670,https://www.youtube.com/channel/UCykNfz2jRqmkQjPqLZMUkyw
Juan,Ciscomani,C001133,rep,Republican,AZ,2025-01-03,2027-01-03,,UCD329AYGX7YnMMSUaTKWHwA,RepCiscomani,1.6e+18,repjuanciscomani,,100089186535085,https://www.youtube.com/channel/UCD329AYGX7YnMMSUaTKWHwA
Mike,Ezell,E000235,rep,Republican,MS,2025-01-03,2027-01-03,,UCseRXy2_n4j97lndfkQ_hAw,RepEzell,1.6e+18,repmikeezell,,repezell,https://www.youtube.com/channel/UCseRXy2_n4j97lndfkQ_hAw
