first,last,id.bioguide,current_type,current_party,current_state,term_start,term_end,social.youtube,social.youtube_id,social.twitter,social.twitter_id,social.instagram,social.instagram_id,social.facebook,youtube_url
Aumua Amata,Radewagen,R000600,rep,Republican,AS,2025-01-03,2027-01-03,,UCGdrLQbt1PYDTPsampx4t1A,RepAmata,3026622545.0,,,aumuaamata,https://www.youtube.com/channel/UCGdrLQbt1PYDTPsampx4t1A
Steve,Womack,W000809,rep,Republican,AR,2025-01-03,2027-01-03,CongressmanWomack,UCXJbUDLYX-wGIhRuN66hqZw,Rep_SteveWomack,234469322.0,rep_stevewomack,,RepSteveWomack,https://www.youtube.com/channel/UCXJbUDLYX-wGIhRuN66hqZw
Frederica,Wilson,W000808,rep,Democrat,FL,2025-01-03,2027-01-03,repfredericawilson,UCP5QBhng_lHv-vJgE_h7lpA,RepWilson,234014087.0,repwilson,,RepWilson,https://www.youtube.com/channel/UCP5QBhng_lHv-vJgE_h7lpA
Daniel,Webster,W000806,rep,Republican,FL,2025-01-03,2027-01-03,repdanwebster,UCCoX4VdU7U11eGEA0lbRtLw,RepWebster,281540744.0,,,RepWebster,https://www.youtube.com/channel/UCCoX4VdU7U11eGEA0lbRtLw
Robert,Wittman,W000804,rep,Republican,VA,2025-01-03,2027-01-03,RobWittman,UCIqIb-OaTbkIdU426eYIdPg,RobWittman,15356407.0,reprobwittman,,RepRobWittman,https://www.youtube.com/channel/UCIqIb-OaTbkIdU426eYIdPg
Tim,Walberg,W000798,rep,Republican,MI,2025-01-03,2027-01-03,RepWalberg,UChpf3_3Wn8f3qSJbsYXrhvg,RepWalberg,237862972.0,repwalberg,,RepWalberg,https://www.youtube.com/channel/UChpf3_3Wn8f3qSJbsYXrhvg
Debbie,Wasserman Schultz,W000797,rep,Democrat,FL,2025-01-03,2027-01-03,RepWassermanSchultz,UCfHQiJVvMlYbVAxrMSLdO4w,RepDWStweets,1140648348.0,RepDWSTweets,,RepDWS,https://www.youtube.com/channel/UCfHQiJVvMlYbVAxrMSLdO4w
Joe,Wilson,W000795,rep,Republican,SC,2025-01-03,2027-01-03,RepJoeWilson,UC3aR1B8m7Z1uycO65yDnpCg,RepJoeWilson,254082173.0,repjoewilson,519685522.0,JoeWilson,https://www.youtube.com/channel/UC3aR1B8m7Z1uycO65yDnpCg
Maxine,Waters,W000187,rep,Democrat,CA,2025-01-03,2027-01-03,MaxineWaters,UCOQ2js1VYFlo74n7Ns8WsLQ,RepMaxineWaters,36686040.0,repmaxinewaters,,MaxineWaters,https://www.youtube.com/channel/UCOQ2js1VYFlo74n7Ns8WsLQ
Nydia,Velázquez,V000081,rep,Democrat,NY,2025-01-03,2027-01-03,nydiavelazquez,UCqMKPkKeeHFOOiZ9vxhXGVg,NydiaVelazquez,164369297.0,,,8037068318,https://www.youtube.com/channel/UCqMKPkKeeHFOOiZ9vxhXGVg
Paul,Tonko,T000469,rep,Democrat,NY,2025-01-03,2027-01-03,reppaultonko,UC3P2SGFmmuCYRsjeso0hOQQ,RepPaulTonko,84119348.0,reppaultonko,,reppaultonko,https://www.youtube.com/channel/UC3P2SGFmmuCYRsjeso0hOQQ
Dina,Titus,T000468,rep,Democrat,NV,2025-01-03,2027-01-03,CongresswomanTitus,UC_US4jNqECuMSNrB7yVCbbw,RepDinaTitus,122174004.0,dinatitusnv,1110185253.0,CongresswomanTitus,https://www.youtube.com/channel/UC_US4jNqECuMSNrB7yVCbbw
