first,last,id.bioguide,current_type,current_party,current_state,term_start,term_end,social.youtube,social.youtube_id,social.twitter,social.twitter_id,social.instagram,social.instagram_id,social.facebook
James (Jim),Moylan,M001219,rep,Republican,GU,2025-01-03,2027-01-03,,,JMoylanforGuam,,repjamesmoylan,,100089324793869
Delia,Ramirez,R000617,rep,Democrat,IL,2025-01-03,2027-01-03,,,repdeliaramirez,,repdeliaramirez,,Repdeliaramirez
Hillary,Scholten,S001221,rep,Democrat,MI,2025-01-03,2027-01-03,,,RepScholten,,RepScholten,,100089476625799
John,James,J000307,rep,Republican,MI,2025-01-03,2027-01-03,@RepJohnJames,,RepJames,,RepJohnJames,,RepJohnJames
Mark,Alford,A000379,rep,Republican,MO,2025-01-03,2027-01-03,@RepAlford,,RepMarkAlford,,RepMarkAlford,,100089595940547
Donald,Davis,D000230,rep,Democrat,NC,2025-01-03,2027-01-03,,,RepDonDavis,,RepDonDavis,,RepDonDavis
Gabriel (Gabe),Vasquez,V000136,rep,Democrat,NM,2025-01-03,2027-01-03,,,RepGabeVasquez,,RepGabeVasquez,,100089328694464
Nicholas,Langworthy,L000600,rep,Republican,NY,2025-01-03,2027-01-03,,,RepLangworthy,,replangworthy,,RepLangworthy
Greg,Landsman,L000601,rep,Democrat,OH,2025-01-03,2027-01-03,,,repgreglandsman,,repgreglandsman,,RepGregLandsman
Max,Miller,M001222,rep,Republican,OH,2025-01-03,2027-01-03,@RepMaxMiller,,repmaxmiller,,repmaxmiller,,CongressmanMaxMiller
Josh,Brecheen,B001317,rep,Republican,OK,2025-01-03,2027-01-03,UCSX3nV53o-1-e0nFA6pPs2w,,repbrecheen,,repbrecheen,,100089040632497
Andrea,Salinas,S001226,rep,Democrat,OR,2025-01-03,2027-01-03,,,repsalinas,,repsalinas,,RepSalinas
Summer,Lee,L000602,rep,Democrat,PA,2025-01-03,2027-01-03,UCqQJ44qlkVxWV5N12YeacyA,,RepSummerLee,,repsummerlee,,RepSummerLee
Seth,Magaziner,M001223,rep,Democrat,RI,2025-01-03,2027-01-03,,,Rep_Magaziner,,,,repsethmagaziner
Andrew,Ogles,O000175,rep,Republican,TN,2025-01-03,2027-01-03,,,repogles,,repandyogles,,RepAndyOgles
Nathaniel,Moran,M001224,rep,Republican,TX,2025-01-03,2027-01-03,@RepNateMoran,,RepNateMoran,,RepNateMoran,,RepNateMoran
